Subject,Datafile,Label
Subject02,Subject02/Subject02_Aufnahme000.csv,curve-left-step
Subject02,Subject02/Subject02_Aufnahme001.csv,curve-left-step
Subject02,Subject02/Subject02_Aufnahme002.csv,stand-to-sit
Subject02,Subject02/Subject02_Aufnahme003.csv,curve-right-spin-Rfirst
Subject02,Subject02/Subject02_Aufnahme004.csv,jump-one-leg
Subject02,Subject02/Subject02_Aufnahme005.csv,lateral-shuffle-right
Subject02,Subject02/Subject02_Aufnahme006.csv,curve-right-spin-Lfirst
Subject02,Subject02/Subject02_Aufnahme007.csv,v-cut-right-Lfirst
Subject02,Subject02/Subject02_Aufnahme008.csv,stair-down
Subject02,Subject02/Subject02_Aufnahme009.csv,v-cut-left-Rfirst
Subject02,Subject02/Subject02_Aufnahme010.csv,v-cut-right-Rfirst
Subject02,Subject02/Subject02_Aufnahme011.csv,jump-two-leg
Subject02,Subject02/Subject02_Aufnahme012.csv,sit
Subject02,Subject02/Subject02_Aufnahme013.csv,stair-up
Subject02,Subject02/Subject02_Aufnahme014.csv,curve-right-step
Subject02,Subject02/Subject02_Aufnahme015.csv,sit-to-stand
Subject02,Subject02/Subject02_Aufnahme016.csv,run
Subject02,Subject02/Subject02_Aufnahme017.csv,curve-right-spin-Lfirst
Subject02,Subject02/Subject02_Aufnahme018.csv,curve-right-step
Subject02,Subject02/Subject02_Aufnahme019.csv,v-cut-left-Lfirst
Subject02,Subject02/Subject02_Aufnahme020.csv,sit-to-stand
Subject02,Subject02/Subject02_Aufnahme021.csv,stand
Subject02,Subject02/Subject02_Aufnahme022.csv,v-cut-left-Lfirst
Subject02,Subject02/Subject02_Aufnahme023.csv,v-cut-right-Rfirst
Subject02,Subject02/Subject02_Aufnahme024.csv,curve-right-spin-Lfirst
Subject02,Subject02/Subject02_Aufnahme025.csv,curve-left-step
Subject02,Subject02/Subject02_Aufnahme026.csv,jump-two-leg
Subject02,Subject02/Subject02_Aufnahme027.csv,v-cut-left-Rfirst
Subject02,Subject02/Subject02_Aufnahme028.csv,v-cut-right-Rfirst
Subject02,Subject02/Subject02_Aufnahme029.csv,stair-up
Subject02,Subject02/Subject02_Aufnahme030.csv,sit-to-stand
Subject02,Subject02/Subject02_Aufnahme031.csv,curve-left-spin-Lfirst
Subject02,Subject02/Subject02_Aufnahme032.csv,walk
Subject02,Subject02/Subject02_Aufnahme033.csv,sit
Subject02,Subject02/Subject02_Aufnahme034.csv,curve-left-spin-Lfirst
Subject02,Subject02/Subject02_Aufnahme035.csv,jump-two-leg
Subject02,Subject02/Subject02_Aufnahme036.csv,curve-left-spin-Rfirst
Subject02,Subject02/Subject02_Aufnahme037.csv,lateral-shuffle-left
Subject02,Subject02/Subject02_Aufnahme038.csv,sit-to-stand
Subject02,Subject02/Subject02_Aufnahme039.csv,stair-up
Subject02,Subject02/Subject02_Aufnahme040.csv,v-cut-right-Rfirst
Subject02,Subject02/Subject02_Aufnahme041.csv,stair-down
Subject02,Subject02/Subject02_Aufnahme042.csv,sit
Subject02,Subject02/Subject02_Aufnahme043.csv,curve-right-spin-Lfirst
Subject02,Subject02/Subject02_Aufnahme044.csv,v-cut-right-Lfirst
Subject02,Subject02/Subject02_Aufnahme045.csv,v-cut-right-Lfirst
Subject02,Subject02/Subject02_Aufnahme046.csv,curve-left-spin-Rfirst
Subject02,Subject02/Subject02_Aufnahme047.csv,curve-right-step
Subject02,Subject02/Subject02_Aufnahme048.csv,run
Subject02,Subject02/Subject02_Aufnahme049.csv,walk
Subject02,Subject02/Subject02_Aufnahme050.csv,curve-left-step
Subject02,Subject02/Subject02_Aufnahme051.csv,run
Subject02,Subject02/Subject02_Aufnahme052.csv,curve-right-spin-Rfirst
Subject02,Subject02/Subject02_Aufnahme053.csv,sit
Subject02,Subject02/Subject02_Aufnahme054.csv,jump-one-leg
Subject02,Subject02/Subject02_Aufnahme055.csv,curve-right-spin-Rfirst
Subject02,Subject02/Subject02_Aufnahme056.csv,v-cut-left-Lfirst
Subject02,Subject02/Subject02_Aufnahme057.csv,curve-left-spin-Lfirst
Subject02,Subject02/Subject02_Aufnahme058.csv,sit-to-stand
Subject02,Subject02/Subject02_Aufnahme059.csv,lateral-shuffle-right
Subject02,Subject02/Subject02_Aufnahme060.csv,sit
Subject02,Subject02/Subject02_Aufnahme061.csv,v-cut-left-Rfirst
Subject02,Subject02/Subject02_Aufnahme062.csv,curve-left-spin-Lfirst
Subject02,Subject02/Subject02_Aufnahme063.csv,sit
Subject02,Subject02/Subject02_Aufnahme064.csv,stair-down
Subject02,Subject02/Subject02_Aufnahme065.csv,stand
